,City,Country,Temperature,Humidity,Cloudiness,Wind Speed(mph),Latitude
0,Chokurdakh,RU,33.17,66,95,2.62,70.62
1,Lebu,ET,60.71,84,77,3.49,8.96
2,Gat,SN,77.0,94,53,4.7,14.69
3,Mitsamiouli,KM,78.8,65,20,4.7,-11.38
4,Fomboni,KM,79.07,73,0,14.99,-12.28
5,Maniitsoq,GL,40.55,76,100,2.68,65.42
6,Albany,US,63.18,88,90,8.55,42.65
7,Iwanai,JP,57.11,73,48,9.19,42.97
8,Hobart,AU,55.89,57,40,19.46,-42.88
9,Monywa,MM,87.35,59,64,10.49,22.12
10,Cape Town,ZA,60.12,67,0,14.99,-33.93
11,Yellowknife,CA,37.17,86,5,6.93,62.45
12,Ushuaia,AR,44.6,81,40,5.82,-54.81
13,Hermanus,ZA,56.89,92,25,1.99,-34.42
14,San Rafael del Sur,NI,74.57,93,89,0.83,11.85
15,Noyabrsk,RU,38.75,69,84,16.67,63.2
16,Mataura,NZ,46.0,81,53,10.0,-46.19
17,Puerto Ayora,EC,68.0,90,10,3.0,-0.74
18,Busselton,AU,73.31,35,0,9.1,-33.64
19,Waipawa,NZ,46.0,91,94,6.29,-39.94
20,Sarkand,KZ,72.59,30,33,6.4,45.41
21,Nemuro,JP,69.8,56,20,6.93,43.32
22,Nanortalik,GL,41.99,74,99,7.31,60.14
23,Rjukan,NO,48.0,93,71,0.56,59.88
24,Itoman,JP,83.26,65,20,13.87,26.12
25,Barrow,AR,49.73,85,0,4.27,-38.31
26,Padang,ID,79.07,83,86,13.22,-0.92
27,Naze,NG,77.0,94,40,5.21,5.43
28,Bluff,AU,85.37,20,32,14.56,-23.58
29,Kapaa,US,79.38,88,90,11.41,22.08
30,Prince Rupert,CA,53.6,87,90,10.29,54.32
31,Salinopolis,BR,80.33,79,0,11.74,-0.61
32,Khotyn,UA,45.55,93,0,5.91,48.51
33,Geraldton,CA,42.8,93,5,4.36,49.72
34,Carnarvon,ZA,51.71,40,0,17.49,-30.97
35,Mosquera,CO,53.6,93,75,2.24,4.71
36,Port Lincoln,AU,55.13,71,73,7.25,-34.72
37,Vardo,US,68.5,68,90,10.29,39.62
38,Bredasdorp,ZA,51.85,87,70,1.12,-34.53
39,Buraydah,SA,78.8,31,0,3.36,26.33
40,Vaini,IN,73.4,88,75,2.24,15.34
41,Atuona,PF,79.07,79,20,21.07,-9.8
42,Brae,GB,53.6,100,100,16.11,60.4
43,Gerash,IR,82.4,45,0,0.49,27.67
44,Vestmannaeyjar,IS,50.27,96,100,4.88,63.44
45,Isangel,VU,80.6,54,75,11.41,-19.55
46,Susanville,US,49.82,66,1,3.36,40.42
47,Iqaluit,CA,30.09,86,40,4.7,63.75
48,Saint Anthony,US,55.8,54,1,14.99,43.97
49,Tuktoyaktuk,CA,35.6,93,90,8.05,69.44
50,Cabo San Lucas,MX,79.95,74,40,6.93,22.89
51,Lompoc,US,57.16,93,90,4.7,34.64
